gene,p_value,log2_FC
PRX,6.700648760611059e-22,-2.1301600026471137
SLC6A4,4.493396689447561e-13,-2.582234924915329
MYRF,2.244501184844685e-20,-2.0000091250992877
FCN3,4.493396689447561e-13,-2.169801223226361
GGTLC1,1.2274615854619371e-19,-2.0398456405692342
ITLN2,9.853161916328044e-29,-3.5295391564453436
DEFA4,3.4537753785605276e-05,-2.5992700837454006
BTNL9,2.244501184844685e-20,-2.024338050581839
MS4A15,9.853161916328044e-29,-2.4635907304361857
CA4,3.6794752118343054e-25,-2.3958195555155295
RTKN2,6.472070177890214e-19,-2.6566400762450595
AGER,3.6794752118343054e-25,-2.2739174590962032
DEFA1,0.028320269494399624,-3.4181890133144193
DEFA1B,0.006068022981269323,-3.86217070472731
